Id,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate
1,4,3,5,5,4,4,3
2,4,3,4,4,4,5,2
3,4,3,4,4,4,4,3
4,2,1,4,3,3,3,3
5,3,3,4,2,2,3,3
6,4,3,5,5,4,5,4
7,5,5,5,5,3,5,5
8,4,2,3,3,3,3,3
9,5,4,4,4,4,4,4
10,4,3,3,4,3,3,4
11,4,1,4,5,3,3,4
12,3,2,4,4,3,4,4
13,4,3,2,4,4,3,4
14,4,3,4,4,4,4,3
15,5,2,5,5,5,5,2
16,4,1,5,4,3,4,4
17,4,3,3,4,3,3,3
18,4,4,4,4,4,4,4
19,4,3,4,5,5,5,5
20,3,4,3,4,3,4,2
21,2,2,5,3,3,4,3
22,5,3,4,3,3,4,5
23,5,2,5,5,2,4,3
24,5,4,4,5,4,4,3
25,4,3,4,4,3,3,5
26,4,3,1,4,4,5,4
27,4,2,4,4,4,4,2
28,5,3,4,4,3,4,3
29,4,5,3,3,3,4,5
30,5,5,5,5,3,5,5
31,3,1,4,4,3,4,4
32,4,3,3,3,2,3,4
33,2,3,5,5,3,5,5
34,3,2,3,3,3,4,3
35,3,4,4,3,4,4,3
36,4,2,4,4,3,4,1
37,3,3,4,4,5,5,2
38,5,2,3,4,4,3,5
39,4,4,4,4,4,4,4
40,3,2,5,3,3,5,3
42,5,4,5,5,3,5,5
43,5,4,5,5,1,4,4
44,4,4,5,4,4,5,5
46,5,3,4,3,4,4,4
48,3,1,5,4,3,3,2
49,3,4,5,4,3,4,2
50,3,3,3,3,3,3,3
51,4,4,4,4,2,3,4
52,3,3,2,2,2,4,3
53,5,4,3,5,3,5,5
54,3,3,2,3,3,3,3
55,4,3,5,4,4,5,5
56,4,3,4,3,2,3,4
57,5,4,3,4,3,3,3
58,5,5,5,5,5,5,5
59,3,3,3,3,4,3,3
60,4,3,4,4,3,4,3
61,2,1,5,1,4,3,3
62,5,4,3,4,3,3,3
63,3,3,4,3,3,3,3
64,4,2,3,5,4,4,5
65,3,1,5,3,4,4,5
66,4,3,2,4,3,4,4
67,4,3,4,5,4,4,4
69,2,1,5,4,4,4,1
70,3,3,5,4,3,3,4
71,4,3,4,5,5,5,3
72,5,1,3,3,2,3,3
73,4,2,4,4,3,4,3
74,3,2,4,4,4,5,4
75,3,2,3,3,3,5,4
76,3,3,4,5,4,4,4
77,4,2,5,3,2,4,4
78,4,2,1,4,1,4,4
79,2,1,5,2,2,2,2
80,2,2,3,2,2,2,2
81,3,2,4,3,1,3,3
83,5,5,5,5,5,5,5
84,4,4,2,4,3,4,5
85,4,2,4,3,4,4,4
86,4,3,4,4,3,4,4
87,4,3,2,3,1,2,2
88,3,3,3,4,3,3,3
89,4,4,4,4,4,4,4
90,5,5,5,5,4,5,5
91,4,4,5,4,4,5,4
92,4,3,4,5,5,4,5
94,5,3,5,5,4,4,1
95,3,1,3,3,1,3,2
96,3,3,5,4,3,3,4
97,3,3,1,4,3,4,4
98,3,3,3,3,3,3,3
99,4,3,4,3,3,4,4
100,4,2,3,4,4,4,4
101,3,2,3,3,3,3,3
102,3,4,3,3,1,2,3
103,4,2,4,4,3,3,3
104,4,5,5,4,4,3,3
105,4,4,4,4,4,4,4
106,4,3,5,4,4,4,4
107,3,3,3,3,3,3,3
110,3,3,3,3,3,3,2
111,4,2,3,5,4,4,2
112,5,4,4,4,4,4,4
114,3,4,5,5,5,4,4
115,2,2,1,2,2,3,2
116,5,5,5,5,5,5,5
117,4,4,5,4,2,3,4
118,3,3,5,3,2,4,4
119,5,5,5,5,5,5,5
120,3,2,4,3,3,3,4
121,4,4,4,4,4,4,4
122,1,1,5,4,3,3,2
